label,name,notice,furigana
不燃ごみ・有害ごみ(危険物),傘,不燃ごみ指定袋(20リットル)をそれぞれ一つの品物に対して1枚ずつ縛り付けるか、テープなどで貼りつけて排出してください。,か
不燃ごみ・有害ごみ(危険物),加湿器（指定袋に入れ、はみ出さずに口が結べるもの）,,か
びん・缶・ペットボトル,果実酒を作るびん,,か
不燃ごみ・有害ごみ(危険物),ガスボンベ(卓上カートリッジ式),,か
不燃ごみ・有害ごみ(危険物),カセットコンロ用ボンベ,,か
不燃ごみ・有害ごみ(危険物),カセット式ガスボンベ,,か
可燃ごみ,カセットテープ,,か
不燃ごみ・有害ごみ(危険物),カセットテープのケース(硬いプラスチック製),,か
不燃ごみ・有害ごみ(危険物),カセットデッキ（指定袋に入れ、はみ出さずに口が結べるもの）,,か
不燃ごみ・有害ごみ(危険物),ガソリン携行缶（指定袋に入れ、はみ出さずに口が結べるもの）,,か
可燃ごみ,かつら(つけ毛),,か
可燃ごみ,かばん(布製・革製・合革製・ビニール製・柔らかいプラスチック製),,か
不燃ごみ・有害ごみ(危険物),かばん(アルミ製等の本体が金属でできたもの。指定袋に入れ、はみ出さずに口が結べるもの）,,か
可燃ごみ,壁紙（指定袋に入れ、はみ出さずに口が結べるもの）,,か
不燃ごみ・有害ごみ(危険物),かみそりの刃,,か
可燃ごみ,紙粘土,,か
古紙・布類,紙パック,洗って開き、乾かしてください。（500ml未満や内側にコーティングのあるものは可燃ごみへ）,か
可燃ごみ,紙やすり,,か
可燃ごみ,ガムテープ,,か
不燃ごみ・有害ごみ(危険物),ガラス板（指定袋に入れ、はみ出さずに口が結べるもの）,,か
不燃ごみ・有害ごみ(危険物),ガラスくず(破片・割れたびんなど),,か
不燃ごみ・有害ごみ(危険物),ガラス食器類,,か
可燃ごみ,刈り草・葉,透明袋に入れて排出。無料で出せます。（1回につき3袋程度まで）,か
不燃ごみ・有害ごみ(危険物),瓦(３枚程度まで),,か
可燃ごみ,緩衝材(プラスチック製・紙製),,か
不燃ごみ・有害ごみ(危険物),乾燥機(食器用、布団用。指定袋に入れ、はみ出さずに口が結べるもの）,,か
可燃ごみ,乾燥剤(シリカゲル),,か
不燃ごみ・有害ごみ(危険物),乾電池,,か
可燃ごみ,感熱発泡紙(点字本など),,か
可燃ごみ,木の枝,1本の太さ10cm、長さ50cm以内に切り、ひもで束ねる。無料で出せます。（1回につき3束程度まで）※1束は片手で持てる程度の大きさまで,き
不燃ごみ・有害ごみ(危険物),キーボード(パソコン用。指定袋に入れ、はみ出さずに口が結べるもの）,,き
可燃ごみ,禁煙パイプ,,き
不燃ごみ・有害ごみ(危険物),金庫(手提げ金庫),,き
不燃ごみ・有害ごみ(危険物),空気入れ(自転車用。指定袋に入れ、はみ出さずに口が結べるもの）,,く
可燃ごみ,空気清浄機のフィルター,,く
不燃ごみ・有害ごみ(危険物),クーラーボックス(指定袋に入れ、はみ出さずに口が結べるもの）,,く
可燃ごみ,クーラーボックス(発泡スチロール製),,く
可燃ごみ,クッション(指定袋に入れ、はみ出さずに口が結べるもの）,,く
可燃ごみ,靴,,く
不燃ごみ・有害ごみ(危険物),靴べら(プラスチック製),,く
可燃ごみ,靴べら(木製),,く
可燃ごみ,クレヨン,,く
可燃ごみ,グローブ・ミット,,く
可燃ごみ,毛(髪の毛),,け
不燃ごみ・有害ごみ(危険物),蛍光管・蛍光灯,購入時のケースに入れるか、割れないような処置をしてください。,け
不燃ごみ・有害ごみ(危険物),携帯ラジオ,,け
古紙・布類,毛糸類衣類（既製品）,まだ着られるものを目安に、洗濯し、乾燥させて清潔にしてから透明な袋に入れて出してください。（雨天時には出せません）,け
可燃ごみ,消しゴム可燃,,け
びん・缶・ペットボトル,化粧品のびん,,け
不燃ごみ・有害ごみ(危険物),血圧計(水銀を使用してるもの),,け
不燃ごみ・有害ごみ(危険物),血圧計(水銀を使用しているもの以外),,け
不燃ごみ・有害ごみ(危険物),顕微鏡,,け
不燃ごみ・有害ごみ(危険物),香水のびん,,こ
可燃ごみ,氷枕,,こ
不燃ごみ・有害ごみ(危険物),氷枕の留め具,,こ
古紙・布類,コート（中に綿・羽毛が入っていないもの）,まだ着られるものを目安に、洗濯し、乾燥させて清潔にしてから透明な袋に入れて出してください。（雨天時には出せません）,こ
可燃ごみ,コート（中に綿・羽毛が入っているもの）,,こ
可燃ごみ,こたつ布団(指定袋に入れ、はみ出さずに口が結べるもの）,,こ
可燃ごみ,ゴム類,,こ
可燃ごみ,コンタクトレンズ,,こ
不燃ごみ・有害ごみ(危険物),コンポ(音響機器。指定袋に入れ、はみ出さずに口が結べるもの）,,こ
不燃ごみ・有害ごみ(危険物),コンロ(卓上コンロ・カセットコンロ。指定袋に入れ、はみ出さずに口が結べるもの）,,こ
可燃ごみ,在宅医療用のビニールバッグ・チューブ・カテーテル類,,さ
古紙・布類,雑誌（週刊誌、カタログ等・文庫本・単行本）,付属のシール・CD・DVDや化粧品は取り除いてください。ホチキスはそのままでOK。,さ
古紙・布類,雑がみ（菓子の箱、包装紙等）,紙袋でまとめるか、重ねてひもで縛ってください。（他の古紙やコーティングされた紙などが混ざらないよう注意）,さ
可燃ごみ,座布団(指定袋に入れ、はみ出さずに口が結べるもの）,,さ
不燃ごみ・有害ごみ(危険物),湿度計,,し
不燃ごみ・有害ごみ(危険物),シャープペンシル,,し
可燃ごみ,シャープペンシルの芯,,し
可燃ごみ,シャンプーボトル可燃,,し
不燃ごみ・有害ごみ(危険物),消火剤スプレーの空き缶,,し
不燃ごみ・有害ごみ(危険物),浄水器(カートリッジを含む),,し
可燃ごみ,食品のトレイ（店頭回収協力店が近くにない場合）,,し
びん・缶・ペットボトル,食用油の空き缶,,し
びん・缶・ペットボトル,食用油の空きびん(ガラス製),,し
可燃ごみ,食用油の空きプラスチックボトル,,し
可燃ごみ,除湿剤(ゼリー状・プラスチック製),,し
可燃ごみ,人工芝,,し
古紙・布類,新聞紙（折込チラシ含む）,新聞折り込みチラシは新聞紙と一緒に溶かしてリサイクルするため、新聞と一緒に束ねて出してください。,し
不燃ごみ・有害ごみ(危険物),水槽(指定袋に入れ、はみ出さずに口が結べるもの）,,す
不燃ごみ・有害ごみ(危険物),炊飯器（一升炊きまで),不燃ごみ指定袋(20リットル)をそれぞれ一つの品物に対して1枚ずつ縛り付けるか、テープなどで貼りつけて排出してください。,す
古紙・布類,スーツ,まだ着られるものを目安に、洗濯し、乾燥させて清潔にしてから透明な袋に入れて出してください。（雨天時には出せません）,す
古紙・布類,スカート,まだ着られるものを目安に、洗濯し、乾燥させて清潔にしてから透明な袋に入れて出してください。（雨天時には出せません）,す
可燃ごみ,スキーウェア,,す
不燃ごみ・有害ごみ(危険物),スキーブーツ(指定袋に入れ、はみ出さずに口が結べるもの）,,す
不燃ごみ・有害ごみ(危険物),スキャナー(指定袋に入れ、はみ出さずに口が結べるもの）,,す
不燃ごみ・有害ごみ(危険物),スタンプ台,,す
可燃ごみ,ストッキング,,す
不燃ごみ・有害ごみ(危険物),スプレー缶（化粧品・日用品・殺虫剤など）,,す
可燃ごみ,スポンジ,,す
可燃ごみ,炭,,す
可燃ごみ,生理用品,,せ
可燃ごみ,石灰,,せ
可燃ごみ,石鹸,,せ
可燃ごみ,接着剤,,せ
不燃ごみ・有害ごみ(危険物),せともの・陶器(指定袋に入れ、はみ出さずに口が結べるもの）,,せ
可燃ごみ,セロハン紙,,せ
可燃ごみ,洗剤容器（プラスチック製）,,せ
不燃ごみ・有害ごみ(危険物),洗車ブラシ,,せ
不燃ごみ・有害ごみ(危険物),洗濯ばさみ,,せ
不燃ごみ・有害ごみ(危険物),洗濯用角ハンガー（洗濯ばさみが複数付属したもの),不燃ごみ指定袋(20リットル)をそれぞれ一つの品物に対して1枚ずつ縛り付けるか、テープなどで貼りつけて排出してください。,せ
可燃ごみ,剪定枝（太さ１０ｃｍ、長さ５０ｃｍ以内）,1本の太さ10cm、長さ50cm以内に切り、ひもで束ねる。無料で出せます。（1回につき3束程度まで）※1束は片手で持てる程度の大きさまで,せ
不燃ごみ・有害ごみ(危険物),扇風機(指定袋に入れ、はみ出さずに口が結べるもの）,,せ
不燃ごみ・有害ごみ(危険物),洗面器（プラスチック製),不燃ごみ指定袋(20リットル)をそれぞれ一つの品物に対して1枚ずつ縛り付けるか、テープなどで貼りつけて排出してください。,せ
可燃ごみ,造花,,そ
不燃ごみ・有害ごみ(危険物),掃除機(指定袋に入れ、はみ出さずに口が結べるもの）,,そ
不燃ごみ・有害ごみ(危険物),体温計（水銀入り）,,た
不燃ごみ・有害ごみ(危険物),体重計,,た
可燃ごみ,台所ごみ,,た
不燃ごみ・有害ごみ(危険物),タイル,,た
可燃ごみ,脱酸素剤（菓子等に入っているもの）,,た
可燃ごみ,脱臭剤・脱臭剤容器（プラスチック製）,,た
不燃ごみ・有害ごみ(危険物),タッパー・タッパーのフタ（硬いプラスチック製）,,た
可燃ごみ,タッパー・タッパーのフタ（柔らかいプラスチック製）,,た
可燃ごみ,卵のパック可燃,,た
可燃ごみ,たわし(金属製以外),,た
古紙・布類,段ボール,1枚でも必ずたたんでしばること、留め具はそのままでOK.（粘着テープやカーボン紙は取り除いて可燃ごみへ）,た
可燃ごみ,反物・帯・帯締め,,た
不燃ごみ・有害ごみ(危険物),地球儀(指定袋に入れ、はみ出さずに口が結べるもの）,,ち
不燃ごみ・有害ごみ(危険物),チューナー(指定袋に入れ、はみ出さずに口が結べるもの）,,ち
可燃ごみ,チューブ（自転車用）,,ち
可燃ごみ,チョーク（白墨）,,ち
びん・缶・ペットボトル,調味料のびん,,ち
びん・缶・ペットボトル,調味料のペットボトル,,ち
不燃ごみ・有害ごみ(危険物),使い捨てガスライター,,つ
不燃ごみ・有害ごみ(危険物),漬物樽(指定袋に入れ、はみ出さずに口が結べるもの）,,つ
不燃ごみ・有害ごみ(危険物),壺（つぼ。指定袋に入れ、はみ出さずに口が結べるもの）,,つ
可燃ごみ,釣糸,,つ
可燃ごみ,テグス（釣り糸）,,て
古紙・布類,デニム,まだ着られるものを目安に、洗濯し、乾燥させて清潔にしてから透明な袋に入れて出してください。（雨天時には出せません）,て
不燃ごみ・有害ごみ(危険物),テレビアンテナ(指定袋に入れ、はみ出さずに口が結べるもの）,,て
可燃ごみ,テレホンカード,,て
不燃ごみ・有害ごみ(危険物),電気あんか,,て
不燃ごみ・有害ごみ(危険物),電気鉛筆削り,,て
可燃ごみ,電気カーペット・電気毛布(指定袋に入れ、はみ出さずに口が結べるもの）,,て
不燃ごみ・有害ごみ(危険物),電気スタンド(指定袋に入れ、はみ出さずに口が結べるもの）,,て
不燃ごみ・有害ごみ(危険物),電気ポット,,て
不燃ごみ・有害ごみ(危険物),電磁調理器（IH。指定袋に入れ、はみ出さずに口が結べるもの）,,て
可燃ごみ,点字本,,て
不燃ごみ・有害ごみ(危険物),電池（アルカリ乾電池、マンガン乾電池）,,て
不燃ごみ・有害ごみ(危険物),陶器(指定袋に入れ、はみ出さずに口が結べるもの）,,と
可燃ごみ,灯油ポンプ（手動式）,,と
不燃ごみ・有害ごみ(危険物),灯油ポンプ（電動式）,,と
不燃ごみ・有害ごみ(危険物),塗料の空き缶・空きびん不燃,,と
不燃ごみ・有害ごみ(危険物),塗料スプレーの空き缶,,と
可燃ごみ,長靴(ゴム製),,な
不燃ごみ・有害ごみ(危険物),鍋(指定袋に入れ、はみ出さずに口が結べるもの）,,な
不燃ごみ・有害ごみ(危険物),縫い針,,ぬ
可燃ごみ,ネガフィルム,,ね
可燃ごみ,熱さまし用シート,,ね
可燃ごみ,粘土,,ね
びん・缶・ペットボトル,ノンオイルドレッシングのペットボトル,,の
可燃ごみ,灰,,は
可燃ごみ,廃油処理パック,,は
不燃ごみ・有害ごみ(危険物),白熱灯（電球）,,は
不燃ごみ・有害ごみ(危険物),バスポンプ（本体）,少量ずつボロ布などに含ませれば「可燃ごみ」で出せます。,は
可燃ごみ,バスポンプのホース,,は
可燃ごみ,発泡スチロール（緩衝材等）,,は
可燃ごみ,発泡スチロール製容器,,は
可燃ごみ,発泡トレイ（店頭回収協力店が近くにない場合）,,は
不燃ごみ・有害ごみ(危険物),歯ブラシ,,は
可燃ごみ,ハンガー（木製）,,は
不燃ごみ・有害ごみ(危険物),ハンガー（硬いプラスチック製）,,は
不燃ごみ・有害ごみ(危険物),ピアニカ,,ひ
可燃ごみ,皮革類,金具など金属部分は取り外せる範囲で取り外して不燃ごみへ。取り外せないものはそのまま可燃ごみへ。,ひ
可燃ごみ,ビデオテープ,,ひ
可燃ごみ,ビデオテープのケース（柔らかいプラスチック製）,,ひ
不燃ごみ・有害ごみ(危険物),ビデオテープのケース（硬いプラスチック製）,,ひ
不燃ごみ・有害ごみ(危険物),ファクシミリ（電話機一体型含む）,,ふ
可燃ごみ,布団(指定袋に入れ、はみ出さずに口が結べるもの）,,ふ
可燃ごみ,布団カバー・布団パッド,,ふ
不燃ごみ・有害ごみ(危険物),布団乾燥機(指定袋に入れ、はみ出さずに口が結べるもの）,,ふ
古紙・布類,ブラウス,まだ着られるものを目安に、洗濯し、乾燥させて清潔にしてから透明な袋に入れて出してください。（雨天時には出せません）,ふ
不燃ごみ・有害ごみ(危険物),プリンター(指定袋に入れ、はみ出さずに口が結べるもの）,,ふ
不燃ごみ・有害ごみ(危険物),風呂用プラスチックいす,不燃ごみ指定袋(20リットル)をそれぞれ一つの品物に対して1枚ずつ縛り付けるか、テープなどで貼りつけて排出してください。,ふ
不燃ごみ・有害ごみ(危険物),風呂のふた（割れるような硬いもの。指定袋に入れ、はみ出さずに口が結べるもの）,,ふ
可燃ごみ,ふん（ペットのフン）,,ふ
可燃ごみ,ペットシート,,へ
可燃ごみ,ペットのトイレ用シート・砂,,へ
びん・缶・ペットボトル,ペットフードの缶,,へ
可燃ごみ,ペットボトル（飲食物以外）,,へ
可燃ごみ,ペットボトル（食用を含む油が入っていたもの）,,へ
可燃ごみ,ペットボトルのキャップ,飲料用ペットボトルのキャップは、エコキャップ回収箱へ,へ
可燃ごみ,ベッドパッド,,へ
可燃ごみ,ベッドのマットレス（スプリングなし。指定袋に入れ、はみ出さずに口が結べるもの）,,へ
不燃ごみ・有害ごみ(危険物),ペンキスプレーの空き缶,,へ
不燃ごみ・有害ごみ(危険物),ペンキの空きびん（ガラス製）,,へ
可燃ごみ,ボアシーツ,,ほ
不燃ごみ・有害ごみ(危険物),望遠鏡,,ほ
可燃ごみ,芳香剤,,ほ
可燃ごみ,防虫剤,,ほ
不燃ごみ・有害ごみ(危険物),包丁,,ほ
可燃ごみ,防腐剤,,ほ
可燃ごみ,ボール（球技用）,,ほ
不燃ごみ・有害ごみ(危険物),ボールペン,,ほ
可燃ごみ,ボールペンの芯,,ほ
可燃ごみ,ボックスシーツ,,ほ
可燃ごみ,ホットカーペット(指定袋に入れ、はみ出さずに口が結べるもの）,,ほ
不燃ごみ・有害ごみ(危険物),ホットプレート(指定袋に入れ、はみ出さずに口が結べるもの）,,ほ
不燃ごみ・有害ごみ(危険物),ポリタンク(20リットルまで),不燃ごみ指定袋(20リットル)をそれぞれ一つの品物に対して1枚ずつ縛り付けるか、テープなどで貼りつけて排出してください。,ほ
不燃ごみ・有害ごみ(危険物),マーカーペン,,ま
可燃ごみ,麻雀マット,,ま
不燃ごみ・有害ごみ(危険物),マウス（パソコン用）,,ま
可燃ごみ,マッチ（使用済）,,ま
不燃ごみ・有害ごみ(危険物),ミキサー(指定袋に入れ、はみ出さずに口が結べるもの）,,み
可燃ごみ,水枕,,み
不燃ごみ・有害ごみ(危険物),水枕の留め具（金属製）,,み
不燃ごみ・有害ごみ(危険物),蒸し器（金属製）,,む
可燃ごみ,蒸し器（シリコン製）,,む
不燃ごみ・有害ごみ(危険物),めがね（眼鏡）,,め
古紙・布類,毛布,まだ着られるものを目安に、洗濯し、乾燥させて清潔にしてから透明な袋に入れて出してください。（雨天時には出せません）,も
不燃ごみ・有害ごみ(危険物),モーター類（おもちゃ用）,,も
不燃ごみ・有害ごみ(危険物),モップ（柄がプラスチック製。指定袋に入れ、はみ出さずに口が結べるもの）,,も
可燃ごみ,モップ（柄が木製。指定袋に入れ、はみ出さずに口が結べるもの）,,も
不燃ごみ・有害ごみ(危険物),湯たんぽ（金属製・硬いプラスチック製）,,ゆ
可燃ごみ,湯たんぽ（シリコン製・ゴム製）,,ゆ
不燃ごみ・有害ごみ(危険物),ライター(ガスライター),,ら
不燃ごみ・有害ごみ(危険物),ライター(オイルライター),,ら
可燃ごみ,ランドセル,,ら
不燃ごみ・有害ごみ(危険物),リール（釣り具）,,り
不燃ごみ・有害ごみ(危険物),リチウム電池（ボタン型以外で使い切りタイプ）,,り
不燃ごみ・有害ごみ(危険物),ルーペ,,る
可燃ごみ,冷却枕,,れ
不燃ごみ・有害ごみ(危険物),冷風機（冷風扇。指定袋に入れ、はみ出さずに口が結べるもの）,,れ
不燃ごみ・有害ごみ(危険物),レコード（割れるような硬いもの）,,れ
可燃ごみ,レコード（薄いシート状などの柔らかいもの）,,れ
不燃ごみ・有害ごみ(危険物),レコードプレイヤー(指定袋に入れ、はみ出さずに口が結べるもの）,,れ
可燃ごみ,レジ袋,,れ
可燃ごみ,レジャーシート,,れ
不燃ごみ・有害ごみ(危険物),ローラースケート・ローラーブレード,,ろ
可燃ごみ,輪ゴム可燃,,わ
古紙・布類,和服（反物・帯・帯締めは可燃ごみへ）,まだ着られるものを目安に、洗濯し、乾燥させて清潔にしてから透明な袋に入れて出してください。（雨天時には出せません）,わ
